alexanderpk|net://164.76.142.38|HP LaserJet P4015|Alexander Print Kiosk
crossroadspk|net://164.76.58.6|HP LaserJet P4015|Crossroads Marketplace Print Kiosk
eateriespk|net://164.76.58.5|HP LaserJet P4015|Eateries Print Kiosk
hallefirst1|net://164.76.104.232|hp LaserJet 9040|Halle First Floor Lab
hallefirst2|net://164.76.104.163|hp LaserJet 9050|Halle First Floor Lab
hallefirst3|net://164.76.104.180|hp LaserJet 9040|Halle First Floor Lab
hallefirstcolor|net://164.76.104.150|HP Color LaserJet CP4520 Series|Halle First Floor Lab
halleground1|net://164.76.106.51|hp LaserJet 9040|Halle Ground Floor Lab
halleground2|net://164.76.106.52|hp LaserJet 9040|Halle Ground Floor Lab
halleground3|net://164.76.106.53|hp LaserJet 9040|Halle Ground Floor Lab
hallegroundcolor|net://164.76.106.54|HP Color LaserJet CP4520 Series|Halle Ground Floor Lab
hallesecondsouth|net://164.76.107.53|hp LaserJet 9050|Halle Second South side
hallesouthcommons|net://164.76.111.220|HP LaserJet P4015|Halle South Commons
hallethirdnorth|net://164.76.107.174|HP LaserJet P4515|Halle Third Floor North side
hallethirdsouth|net://164.76.107.213|HP LaserJet P4515|Halle Third South side
markjeffersonpk|net://164.76.81.90|hp LaserJet 9050|Mark Jefferson Print Kiosk
marshallpk|net://164.76.137.101|HP LaserJet P4015|Marshall Print Kiosk
mckennypk|net://164.76.152.26|HP LaserJet P4015|McKenny Print Kiosk
owen101lab1|net://164.76.203.101|hp LaserJet 9050|Owen 101 Lab
owen101lab2|net://164.76.203.102|hp LaserJet 9050|Owen 101 Lab
owen101lab3|net://164.76.203.103|hp LaserJet 9050|Owen 101 Lab
owen101labcolor|net://164.76.232.173|HP Color LaserJet CP4520 Series|Owen 101 Lab
porterpk|net://164.76.133.4|HP LaserJet P4015|Porter Print Kiosk
prayharroldpk|net://164.76.88.118|hp LaserJet 9050|Pray Harrold Print Kiosk
rackhampk|net://164.76.141.212|HP LaserJet P4015|Rackham Print Kiosk
rooseveltpk|net://164.76.239.9|HP LaserJet P4015|Roosevelt Print Kiosk
sillpk|net://164.76.126.102|HP LaserJet P4015|Sill Print Kiosk
strongpk|net://164.76.130.31|HP LaserJet P4015|Strong Print Kiosk
studentcenterpk|net://164.76.150.252|hp LaserJet 9050|Student Center Print Kiosk
